ReportingDate,count
2015-02-22 00:00:00.000,8
2011-07-21 00:00:00.000,8
2015-03-08 00:00:00.000,8
2017-01-24 00:00:00.000,8
2015-03-07 00:00:00.000,8
2013-06-28 00:00:00.000,8
2011-05-28 00:00:00.000,7
2017-02-28 00:00:00.000,7
2013-07-13 00:00:00.000,7
2011-06-10 00:00:00.000,7
2013-06-15 00:00:00.000,7
2013-07-11 00:00:00.000,7
2003-08-04 00:00:00.000,7
2011-01-03 00:00:00.000,7
2024-07-15 00:00:00.000,7
2013-07-15 00:00:00.000,7
2015-02-01 00:00:00.000,7
2015-05-08 00:00:00.000,7
2003-12-01 00:00:00.000,7
2013-05-09 00:00:00.000,7
2015-05-02 00:00:00.000,7
2013-09-02 00:00:00.000,7
2016-06-21 00:00:00.000,7
2002-08-12 00:00:00.000,7
2015-01-17 00:00:00.000,7
2013-06-25 00:00:00.000,7
2013-09-05 00:00:00.000,7
28.08.2024 08:43,7
2013-08-30 00:00:00.000,7
2013-04-10 00:00:00.000,7
2014-12-24 00:00:00.000,7
2017-04-11 00:00:00.000,7
2011-05-13 00:00:00.000,7
2019-03-05 00:00:00.000,7
2010-02-08 00:00:00.000,7
2015-06-17 00:00:00.000,7
2015-01-02 00:00:00.000,7
2011-06-19 00:00:00.000,7
2013-04-19 00:00:00.000,7
2013-07-10 00:00:00.000,7
2011-05-20 00:00:00.000,7
2011-07-13 00:00:00.000,7
2015-03-28 00:00:00.000,7
2015-06-16 00:00:00.000,7
2015-06-04 00:00:00.000,7
2013-07-29 00:00:00.000,7
2013-04-26 00:00:00.000,7
2011-07-10 00:00:00.000,7
2008-08-18 00:00:00.000,7
2011-04-15 00:00:00.000,7
2011-04-16 00:00:00.000,7
2013-07-25 00:00:00.000,7
2013-04-15 00:00:00.000,7
2013-07-24 00:00:00.000,7
2014-12-21 00:00:00.000,7
2010-11-08 00:00:00.000,7
2006-01-16 00:00:00.000,7
2011-05-10 00:00:00.000,7
2003-12-08 00:00:00.000,7
2015-02-08 00:00:00.000,7
2011-06-17 00:00:00.000,7
2011-06-16 00:00:00.000,7
2011-06-29 00:00:00.000,6
2011-07-12 00:00:00.000,6
2011-06-08 00:00:00.000,6
2013-09-09 00:00:00.000,6
2013-06-27 00:00:00.000,6
2013-09-16 00:00:00.000,6
2011-07-18 00:00:00.000,6
2013-06-01 00:00:00.000,6
2012-05-08 00:00:00.000,6
2024-02-06 00:00:00.000,6
2011-07-20 00:00:00.000,6
2011-04-19 00:00:00.000,6
2013-07-31 00:00:00.000,6
2018-07-09 00:00:00.000,6
2013-09-04 00:00:00.000,6
2013-05-11 00:00:00.000,6
2018-04-23 00:00:00.000,6
2013-08-06 00:00:00.000,6
2013-04-17 00:00:00.000,6
2013-08-07 00:00:00.000,6
2013-08-09 00:00:00.000,6
2013-08-12 00:00:00.000,6
2013-04-28 00:00:00.000,6
2011-05-08 00:00:00.000,6
2013-04-30 00:00:00.000,6
2011-08-04 00:00:00.000,6
2013-08-22 00:00:00.000,6
2024-07-26 00:00:00.000,6
2011-06-13 00:00:00.000,6
2013-05-02 00:00:00.000,6
2024-07-23 00:00:00.000,6
2024-04-08 00:00:00.000,6
2013-11-06 00:00:00.000,6
2011-07-30 00:00:00.000,6
2011-07-28 00:00:00.000,6
2013-06-24 00:00:00.000,6
2013-10-06 00:00:00.000,6
2013-05-08 00:00:00.000,6
2013-05-10 00:00:00.000,6
2013-08-20 00:00:00.000,6
2019-03-01 00:00:00.000,6
2011-04-07 00:00:00.000,6
15.01.2019 13:15,6
2010-03-08 00:00:00.000,6
2006-09-04 00:00:00.000,6
2005-10-24 00:00:00.000,6
2006-10-02 00:00:00.000,6
2024-08-29 00:00:00.000,6
2024-08-31 00:00:00.000,6
2024-09-02 00:00:00.000,6
2003-04-21 00:00:00.000,6
2008-09-22 00:00:00.000,6
2015-03-29 00:00:00.000,6
2015-04-03 00:00:00.000,6
2015-07-07 00:00:00.000,6
2019-02-07 00:00:00.000,6
2007-12-10 00:00:00.000,6
2007-11-05 00:00:00.000,6
2007-10-29 00:00:00.000,6
2007-10-15 00:00:00.000,6
2015-06-19 00:00:00.000,6
2004-05-03 00:00:00.000,6
2024-11-04 00:00:00.000,6
2015-06-01 00:00:00.000,6
2002-09-30 00:00:00.000,6
2024-08-30 00:00:00.000,6
2005-11-07 00:00:00.000,6
2015-05-06 00:00:00.000,6
2006-01-09 00:00:00.000,6
2011-03-22 00:00:00.000,6
2015-07-29 00:00:00.000,6
2014-12-30 00:00:00.000,6
2015-01-18 00:00:00.000,6
2011-04-02 00:00:00.000,6
2015-01-31 00:00:00.000,6
2010-12-27 00:00:00.000,6
2015-01-03 00:00:00.000,6
2017-06-06 00:00:00.000,6
2017-05-15 00:00:00.000,6
2019-01-15 00:00:00.000,6
2010-07-19 00:00:00.000,6
2006-08-28 00:00:00.000,6
2017-05-24 00:00:00.000,6
2018-05-28 00:00:00.000,5
2020-01-23 00:00:00.000,5
2018-06-01 00:00:00.000,5
2004-09-27 00:00:00.000,5
2015-05-27 00:00:00.000,5
2017-03-10 00:00:00.000,5
2013-09-19 00:00:00.000,5
2018-05-22 00:00:00.000,5
2012-05-07 00:00:00.000,5
2015-05-22 00:00:00.000,5
2005-01-03 00:00:00.000,5
2011-04-13 00:00:00.000,5
2011-08-15 00:00:00.000,5
2018-06-05 00:00:00.000,5
2017-02-13 00:00:00.000,5
2014-06-05 00:00:00.000,5
2018-06-11 00:00:00.000,5
2013-10-23 00:00:00.000,5
2014-06-04 00:00:00.000,5
2017-03-01 00:00:00.000,5
2018-06-25 00:00:00.000,5
