SequenceName	type	date
07-00746	D8	2007-12-05
08-00020	D5	2008-01-18
08-00021	D5	2008-01-17
08-00026	D5	2008-01-18
08-00027	D5	2008-01-18
08-00029	D5	2008-01-17
08-00030	D5	2008-01-21
08-00034	D8	2008-01-21
08-00042	D8	2008-01-24
08-00043	D8	2008-01-24
08-00049	D5	2008-01-30
08-00050	D5	2008-01-29
08-00051	D5	2008-01-29
08-00056	D5	2008-02-06
08-00061	D5	2008-02-07
08-00062	D5	2008-02-08
08-00077	D5	2008-02-15
08-00079	D5	2008-02-18
08-00083	D5	2008-02-21
08-00089	D5	2008-02-22
08-00098	D5	2008-02-28
08-00107	D5	2008-03-04
08-00116	D5	2008-03-04
08-00117	D5	2008-03-04
08-00120	D5	2008-03-03
08-00121	D5	2008-03-03
08-00124	D5	2008-03-06
08-00125	D5	2008-03-07
08-00126	D5	2008-03-07
08-00133	D5	2008-03-12
08-00136	D5	2008-03-10
08-00137	D5	2008-03-12
08-00138	D5	2008-03-12
08-00139	D5	2008-03-12
08-00140	D5	2008-03-13
08-00144	D5	2008-03-12
08-00155	D5	2008-03-17
08-00157	D5	2008-03-18
08-00158	D5	2008-03-19
08-00161	D4	2008-03-18
08-00162	D5	2008-03-20
08-00163	D5	2008-03-20
08-00165	D5	2008-03-21
08-00166	D5	2008-03-21
08-00167	D5	2008-03-20
08-00168	D5	2008-03-20
08-00169	D5	2008-03-20
08-00171	D5	2008-03-25
08-00173	D5	2008-03-23
08-00174	D5	2008-03-25
08-00176	D5	2008-03-28
08-00177	D4	2008-03-27
08-00179	D5	2008-03-28
08-00181	D5	2008-03-28
08-00182	D5	2008-03-28
08-00183	D5	2008-03-28
08-00187	D4	2008-04-01
08-00188	D5	2008-03-31
08-00189	D5	2008-03-31
08-00190	D5	2008-03-31
08-00192	D5	2008-03-31
08-00193	D5	2008-04-02
08-00195	D5	2008-04-02
08-00196	D5	2008-04-02
08-00198	D5	2008-04-03
08-00199	D5	2008-04-03
08-00200	D5	2008-04-01
08-00201	D5	2008-04-04
08-00202	D5	2008-04-04
08-00203	D5	2008-04-04
08-00204	D5	2008-04-02
08-00207	D5	2008-04-04
08-00208	D5	2008-04-02
08-00209	D5	2008-04-04
08-00210	D5	2008-04-04
08-00211	D5	2008-04-05
08-00216	D5	2008-04-07
08-00220	D5	2008-04-09
08-00221	D5	2008-04-08
08-00226	D4	2008-04-10
08-00227	D5	2008-04-10
08-00235	D5	2008-04-09
08-00237	D5	2008-04-09
08-00250	D5	2008-04-17
08-00252	D5	2008-04-15
08-00254	D5	2008-04-16
08-00255	D5	2008-04-15
08-00257	D5	2008-04-14
08-00258	D5	2008-04-15
08-00259	D5	2008-04-17
08-00263	D5	2008-04-15
08-00271	D5	2008-04-17
08-00272	D5	2008-04-18
08-00275	D5	2008-04-18
08-00276	D5	2008-04-18
08-00277	D5	2008-04-16
08-00278	D5	2008-04-18
08-00279	D5	2008-04-21
08-00281	D5	2008-04-18
08-00282	D5	2008-04-18
08-00294	D5	2008-04-19
08-00295	D5	2008-04-18
08-00299	D5	2008-04-18
08-00300	D5	2008-04-19
08-00302	D8	2008-04-20
08-00303	D5	2008-04-22
08-00304	D5	2008-04-22
08-00311	D5	2008-04-21
08-00316	D5	2008-04-24
08-00319	D5	2008-04-21
08-00322	D5	2008-04-21
08-00323	D5	2008-04-21
08-00327	D5	2008-04-24
08-00328	D5	2008-04-24
08-00329	D5	2008-04-24
08-00330	D5	2008-04-24
08-00331	D5	2008-04-24
08-00332	D5	2008-04-24
08-00337	D5	2008-04-21
08-00339	D5	2008-04-25
08-00340	D5	2008-04-24
08-00341	D5	2008-04-26
08-00342	D5	2008-04-25
08-00343	D5	2008-04-26
08-00344	D5	2008-04-23
08-00351	D5	2008-04-25
08-00356	D5	2008-04-28
08-00360	D8	2008-04-29
08-00362	D5	2008-04-18
08-00366	D5	2008-04-25
08-00370	D5	2008-04-30
08-00374	D5	2008-05-03
08-00377	D5	2008-05-05
08-00378	D5	2008-05-02
08-00379	D5	2008-05-04
08-00380	D5	2008-05-05
08-00381	D5	2008-05-05
08-00385	D8	2008-05-05
08-00402	D5	2008-05-06
08-00415	D4	2008-05-08
08-00437	D8	2008-05-08
08-00441	D5	2008-05-09
08-00452	D5	2008-05-14
08-00453	D5	2008-05-14
08-00458	D5	2008-05-15
08-00459	D5	2008-05-14
08-00460	D5	2008-05-15
08-00461	D8	2008-05-19
08-00462	D4	2008-05-15
08-00467	D5	2008-05-16
08-00505	D8	2008-05-21
08-00510	D4	2008-05-23
08-00517	D5	2008-05-26
08-00521	D4	2008-05-29
08-00522	D5	2008-05-27
08-00523	D5	2008-05-29
08-00538	D5	2008-06-05
08-00553	D5	2008-06-10
08-00566	D5	2008-06-12
08-00577	D5	2008-06-12
08-00583	D5	2008-06-16
08-00591	D4	2008-06-17
08-00594	D5	2008-06-17
08-00607	D5	2008-06-24
08-00646	D4	2008-07-03
08-00668	D5	2008-07-14
08-00727	D8	2008-07-31
08-00745	D9	2008-08-24
08-00746	D9	2008-08-24
08-00748	D9	2008-08-29
08-00753	D9	2008-08-29
08-01010	D4	2008-12-19
09-00019	D4	2009-01-15
09-00030	D4	2009-01-20
09-00046	D4	2009-01-29
09-00052	D4	2009-02-02
09-00055	D4	2009-01-30
09-00056	D8	2009-01-29
09-00057	D4	2009-01-27
09-00058	D4	2009-01-27
09-00060	D4	2009-02-02
09-00063	D4	2009-02-06
09-00065	D4	2009-02-06
09-00066	D4	2009-02-06
09-00067	D4	2009-02-06
09-00068	D4	2009-02-06
09-00070	D8	2009-02-05
